

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\220507-CRISPRa-cascade-titration\2205010-CRISPRa-cascade-titration.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\txtl_kinetics2.prt



Plate Number	Plate 1
Date	5/10/2022
Time	5:54:56 PM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 white opaque (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 36:00:00 (HH:MM:SS), Interval 0:10:00, 217 Reads
    Read	RFP-Ex
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 50
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
    Read	RFP-St
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 50
	Light Source: Tungsten,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 200 msec,  Measurements/Data Point: 10
End Kinetic	
Read	RFP_100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 100
	Light Source: Tungsten,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
Read	RFP_60
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 60
	Light Source: Tungsten,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
Read	RFP_40
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 40
	Light Source: Tungsten,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10

RFP-Ex:540/35,600/40

Time	T° RFP-Ex:540/35,600/40	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	29.0	354	320	157	361	260	133	150	154	282	234	193	194	352	336	369	160	385	379	359	363	317	291	209	193	420	391	398	158	157	160	154	340	151	326	245	193	391	158	253	416	156	161	161	163	325	271	249	151	355	156	431	455	155	162	163	431	378	346	148	163	430	149	436	414	154	148	156	406	387	266	158	160	146	149	443	423	414	176	150	145	151	158	155	158	397	323	388	405	134	148	152	149	139	150	157	163
0:10:00	29.0	331	300	155	350	237	134	147	154	265	210	189	195	337	311	366	154	377	319	330	361	308	275	201	189	414	379	391	153	154	154	150	281	150	317	224	188	374	155	246	398	157	153	156	158	316	261	234	147	337	155	389	423	155	159	160	389	374	346	141	158	413	147	409	378	153	144	153	367	386	256	153	155	144	147	413	374	377	171	149	142	149	158	151	157	389	315	365	387	132	143	153	146	132	148	154	162
0:20:00	29.0	329	280	156	344	238	130	146	151	254	209	191	192	330	281	360	157	361	287	294	351	305	268	198	194	410	364	381	156	151	154	152	250	146	316	216	191	356	153	241	389	152	150	155	157	314	257	219	146	331	153	373	412	153	162	156	382	374	346	141	156	401	146	404	367	151	144	152	363	380	257	151	155	143	141	394	350	362	172	148	146	145	156	150	155	386	303	329	370	131	144	150	143	133	146	152	158
0:30:00	29.0	337	260	155	338	240	130	145	149	249	211	191	196	321	261	346	154	345	267	264	341	299	268	194	193	407	346	369	154	153	156	148	231	146	311	213	192	340	153	237	377	150	152	158	155	306	253	209	144	316	152	315	399	154	158	156	363	298	330	141	155	392	146	393	347	151	142	149	351	361	258	152	151	143	145	380	331	346	169	148	143	145	155	150	154	382	296	291	343	131	144	149	145	134	146	151	161
0:40:00	29.0	333	247	153	336	244	132	146	150	241	222	191	199	320	245	332	154	336	257	244	271	287	262	192	194	402	328	351	155	154	153	150	218	148	299	206	191	332	154	230	365	151	154	157	157	297	253	205	146	310	149	291	392	153	159	156	286	271	316	139	155	388	143	387	329	152	141	149	334	343	255	153	151	143	145	365	312	334	171	149	145	149	154	148	153	376	289	266	329	129	144	151	144	133	146	153	159
0:50:00	29.0	330	245	154	339	247	131	147	146	232	225	194	198	321	239	314	153	336	250	234	264	273	258	196	193	404	325	343	152	153	156	147	216	148	292	203	191	329	156	227	363	150	149	161	153	291	248	202	143	306	152	284	387	153	159	154	277	266	303	141	157	386	146	372	321	152	140	150	322	329	254	153	151	141	144	358	305	326	170	144	143	148	154	148	154	376	287	261	321	132	145	148	144	134	150	150	158
1:00:00	29.0	331	236	154	340	254	129	146	148	233	230	196	196	320	239	311	153	333	248	229	264	269	251	195	191	400	319	336	153	153	152	148	215	147	254	203	191	323	153	225	355	151	151	157	154	289	244	201	143	306	150	285	379	152	162	159	276	265	294	141	156	381	147	369	313	151	142	149	319	318	256	153	152	144	147	345	297	323	172	148	142	145	154	149	155	374	281	256	318	129	145	150	143	134	145	153	162
1:10:00	29.0	324	237	154	341	256	129	148	149	231	234	194	201	319	236	303	155	330	245	225	262	265	247	198	191	401	314	336	152	152	151	148	212	147	247	203	193	321	153	218	354	152	153	157	155	283	242	201	145	305	153	278	372	154	159	159	277	262	285	140	155	375	144	366	304	148	142	151	311	313	253	153	152	144	146	331	289	319	169	147	144	144	156	148	154	371	281	254	314	130	144	152	145	134	146	151	161
1:20:00	29.0	326	234	152	338	254	130	147	148	230	237	199	203	315	235	298	153	327	245	223	256	259	241	196	196	396	313	325	151	151	155	148	210	150	248	205	191	316	152	221	343	153	152	158	156	278	238	201	147	301	154	281	374	155	158	156	273	262	277	139	158	380	144	360	298	151	143	152	305	305	249	152	151	142	144	322	284	313	169	145	147	145	154	150	154	369	275	250	305	131	142	148	144	132	146	149	158
1:30:00	29.0	327	238	154	337	256	131	146	148	229	240	200	203	316	234	294	153	322	226	222	255	257	240	198	196	399	309	314	153	151	154	149	210	148	244	204	194	290	152	220	343	150	151	156	154	275	234	202	141	307	152	279	373	154	156	158	271	259	272	142	155	379	146	356	293	153	142	151	301	297	249	154	151	143	146	321	280	306	174	148	145	146	155	150	155	372	276	256	298	134	146	149	143	134	150	154	159
